fips,county,state,Under18
01001,Autauga County,AL,92.3076923076923
01003,Baldwin County,AL,84.24467099165895
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,28.3595922150139
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,39.57367933271548
01017,Chambers County,AL,48.37812789620018
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,60.14828544949027
01045,Dale County,AL,NA
01047,Dallas County,AL,NA
01049,DeKalb County,AL,NA
01051,Elmore County,AL,80.81556997219647
01053,Escambia County,AL,26.7840593141798
01055,Etowah County,AL,16.126042632066728
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,99.90732159406858
01069,Houston County,AL,52.91936978683967
01071,Jackson County,AL,NA
01073,Jefferson County,AL,42.07599629286376
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,46.98795180722892
01079,Lawrence County,AL,51.529193697868394
01081,Lee County,AL,27.340129749768305
01083,Limestone County,AL,4.263206672845228
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,19.091751621872106
01091,Marengo County,AL,NA
01093,Marion County,AL,NA
01095,Marshall County,AL,68.0259499536608
01097,Mobile County,AL,18.443002780352177
01099,Monroe County,AL,65.70898980537535
01101,Montgomery County,AL,6.580166821130677
01103,Morgan County,AL,2.5023169601482853
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,22.057460611677477
01115,St. Clair County,AL,NA
01117,Shelby County,AL,93.04911955514366
01119,Sumter County,AL,NA
01121,Talladega County,AL,3.8924930491195555
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,31.23262279888786
01127,Walker County,AL,13.71640407784986
01129,Washington County,AL,NA
