ZipCode,county,state,Youth,Pediatric
35023,Jefferson County,AL,33.37222870478413,NA
35034,Bibb County,AL,94.28238039673279,NA
35209,Jefferson County,AL,68.26137689614936,NA
35215,Jefferson County,AL,NA,15.162454873646208
35217,Jefferson County,AL,81.09684947491247,NA
35401,Tuscaloosa County,AL,65.22753792298717,NA
35476,Tuscaloosa County,AL,83.8973162193699,NA
35601,Morgan County,AL,NA,33.57400722021661
35640,Morgan County,AL,25.437572928821474,NA
35646,Colbert County,AL,NA,96.028880866426
35672,Lawrence County,AL,90.43173862310385,NA
35904,Etowah County,AL,83.19719953325554,NA
36040,Lowndes County,AL,96.26604434072345,NA
36109,Montgomery County,AL,74.09568261376897,NA
36110,Montgomery County,AL,80.28004667444574,NA
36605,Mobile County,AL,28.004667444574093,NA
36609,Mobile County,AL,61.14352392065344,NA
85008,Maricopa County,AZ,35.70595099183197,16.24548736462094
85014,Maricopa County,AZ,NA,51.624548736462096
85016,Maricopa County,AZ,10.501750291715286,NA
85018,Maricopa County,AZ,26.72112018669778,NA
85035,Maricopa County,AZ,NA,18.050541516245488
85122,Pinal County,AZ,5.950991831971995,NA
85123,Pinal County,AZ,39.6732788798133,NA
85203,Maricopa County,AZ,26.954492415402566,NA
85206,Maricopa County,AZ,49.82497082847141,NA
85208,Maricopa County,AZ,54.725787631271885,NA
85213,Maricopa County,AZ,39.08984830805134,NA
85225,Maricopa County,AZ,11.201866977829638,NA
85296,Maricopa County,AZ,34.42240373395566,NA
85326,Maricopa County,AZ,NA,29.24187725631769
85349,Yuma County,AZ,57.17619603267211,31.046931407942242
85350,Yuma County,AZ,82.2637106184364,NA
85364,Yuma County,AZ,19.253208868144693,NA
85650,Cochise County,AZ,NA,98.55595667870037
85706,Pima County,AZ,0.8168028004667445,NA
85941,Apache County,AZ,65.57759626604434,NA
86034,Navajo County,AZ,NA,90.25270758122743
86044,San Juan County,AZ,NA,33.935018050541515
72727,Washington County,AR,98.36639439906651,NA
90007,Los Angeles County,CA,92.88214702450408,67.87003610108303
90011,Los Angeles County,CA,50.64177362893816,NA
90033,Los Angeles County,CA,74.44574095682613,NA
90039,Los Angeles County,CA,97.19953325554259,NA
90044,Los Angeles County,CA,8.401400233372229,NA
90063,Los Angeles County,CA,NA,41.87725631768953
90201,Los Angeles County,CA,38.739789964994166,NA
90221,Los Angeles County,CA,37.33955659276546,NA
90262,Los Angeles County,CA,23.80396732788798,NA
90503,Los Angeles County,CA,61.37689614935823,NA
90605,Los Angeles County,CA,NA,72.20216606498195
90630,Orange County,CA,41.656942823803966,NA
91040,Los Angeles County,CA,98.94982497082847,NA
91204,Los Angeles County,CA,NA,80.14440433212997
91306,Los Angeles County,CA,NA,63.1768953068592
91340,Los Angeles County,CA,66.97782963827305,NA
91384,Los Angeles County,CA,NA,98.91696750902527
91401,Los Angeles County,CA,75.1458576429405,NA
91402,Los Angeles County,CA,NA,38.98916967509025
91710,San Bernardino County,CA,NA,34.29602888086642
91732,Los Angeles County,CA,42.240373395565925,NA
91744,Los Angeles County,CA,23.453908984830804,NA
91766,Los Angeles County,CA,41.30688448074679,NA
91767,Los Angeles County,CA,NA,47.65342960288809
91977,San Diego County,CA,34.18903150525088,NA
92021,San Diego County,CA,26.60443407234539,NA
92083,San Diego County,CA,NA,33.2129963898917
92126,San Diego County,CA,30.221703617269547,NA
92128,San Diego County,CA,57.759626604434075,NA
92227,Imperial County,CA,NA,32.12996389891697
92254,Riverside County,CA,NA,78.33935018050542
92324,San Bernardino County,CA,NA,43.682310469314075
92374,San Bernardino County,CA,89.96499416569428,NA
92405,San Bernardino County,CA,NA,62.454873646209386
92562,Riverside County,CA,NA,68.59205776173285
92626,Orange County,CA,41.1901983663944,NA
92660,Orange County,CA,60.910151691948656,NA
92672,Orange County,CA,95.21586931155193,NA
92704,Orange County,CA,30.455075845974328,NA
92708,Orange County,CA,NA,78.33935018050542
92780,Orange County,CA,54.4924154025671,NA
92801,Orange County,CA,NA,26.353790613718413
92804,Orange County,CA,NA,29.602888086642597
93010,Ventura County,CA,62.89381563593932,NA
93033,Ventura County,CA,NA,8.303249097472925
93247,Tulare County,CA,86.8144690781797,NA
93256,Tulare County,CA,NA,93.86281588447653
93291,Tulare County,CA,11.31855309218203,50.18050541516246
93305,Kern County,CA,76.66277712952159,NA
93444,San Luis Obispo County,CA,79.11318553092183,NA
93458,Santa Barbara County,CA,NA,30.685920577617328
93536,Los Angeles County,CA,44.574095682613766,NA
93543,Los Angeles County,CA,89.96499416569428,NA
93550,Los Angeles County,CA,48.4247374562427,NA
93610,Madera County,CA,50.75845974329055,NA
93618,Tulare County,CA,43.29054842473746,NA
93620,Merced County,CA,93.34889148191365,NA
93622,Fresno County,CA,96.732788798133015,NA
93630,Fresno County,CA,NA,71.48014440433214
93638,Madera County,CA,7.001166861143523,NA
93648,Fresno County,CA,NA,52.707581227436826
93722,Fresno County,CA,3.6172695449241536,NA
94015,San Mateo County,CA,66.97782963827305,NA
94019,San Mateo County,CA,78.29638273045506,NA
94107,San Francisco County,CA,NA,81.94945848375451
94580,Alameda County,CA,89.38156359393233,NA
94603,Alameda County,CA,68.49474912485414,NA
94806,Contra Costa County,CA,62.19369894982497,NA
95110,Santa Clara County,CA,NA,81.2274368231047
95112,Santa Clara County,CA,40.49008168028005,NA
95240,San Joaquin County,CA,59.74329054842473,23.826714801444044
